mb_norm_id,max_prob_all_reviews_for_MB,HT_max_lex_score,HT_avg_lex_score
27.88039:-82.81832#,1,2,0.69
25.95710:-80.19774#,1,2,0.67
25.99555:-80.22078#,0.99999,2,0.67
26.36957:-80.07616#,0.99998,2,0.67
26.56511:-81.95420#,0.97169,2,0.67
27.89511:-82.76431#,0.99993,2,0.67
30.50633:-84.25236#,0.70199,2,0.67
26.71691:-80.11124#,1,2,0.62
27.25630:-82.51764#,0.99997,2,0.62
27.73726:-82.74859#,0.96157,2,0.62
30.35757:-87.15544#,0.95633,2,0.62
25.70108:-80.33541#,0.99995,2,0.6
26.23482:-80.21274#,0.99996,2,0.6
26.66397:-80.26654#B7,0.84978,2,0.6
28.55253:-81.40499#,0.99999,2,0.6
30.26721:-81.55750#,0.99057,2,0.6
29.18436:-80.98752#,0.9892,2,0.57
25.73312:-80.33129#,0.9056,2,0.55
25.68739:-80.41680#,0.79764,2,0.5
25.92418:-80.15365#,1,2,0.5
26.16673:-80.15274#,1,2,0.5
27.99671:-82.39137#,0.91143,2,0.5
28.71356:-81.77251#,0.68611,2,0.5
29.05944:-82.05519#,0.99294,2,0.5
29.27875:-81.06019#,1,2,0.5
26.43343:-80.07149#,0.73358,2,0.47
27.29827:-82.48337#,0.58095,2,0.47
26.19027:-80.12316#,0.89937,2,0.45
26.27243:-80.22669#,0.94639,2,0.45
26.84274:-80.08978#,0.90819,2,0.45
26.96602:-82.35362#,0.59081,2,0.44
28.29521:-81.41642#,0.9997,2,0.43
27.31779:-82.57634#,0.78031,2,0.42
27.32248:-82.52860#,0.96609,2,0.41
25.74915:-80.23793#,0.99818,2,0.4
26.20301:-80.13376#,0.88672,2,0.4
26.31404:-80.08345#,0.99981,2,0.4
26.53138:-80.08964#23,0.67679,2,0.4
26.93403:-80.12991#,0.75311,2,0.4
27.00556:-82.13350#B2,0.50163,2,0.4
27.33627:-82.53560#,0.61058,2,0.4
27.83887:-82.69676#,0.77589,2,0.4
28.30181:-81.41547#,0.98848,2,0.4
29.02195:-80.93164#,0.60083,2,0.4
26.57335:-81.87090#,1,2,0.38
27.25851:-82.51560#,0.98715,2,0.38
28.35441:-80.68661#,0.81845,2,0.38
30.26529:-81.60612#4,0.92462,2,0.37
25.64133:-80.33461#,0.99999,2,0.36
25.73282:-80.35810#,1,2,0.36
26.10466:-80.26544#,0.79987,2,0.36
28.26186:-81.62689#,0.69598,2,0.36
25.92627:-80.15954#,0.87193,2,0.35
26.09491:-80.25031#,0.75643,2,0.35
26.09713:-80.13098#,0.80198,2,0.35
26.40816:-80.20288#,0.95969,2,0.35
26.45798:-81.82511#14,0.75564,2,0.35
27.33586:-82.53142#201,0.79155,2,0.35
27.76873:-82.63589#,0.7333,2,0.35
27.77125:-82.68925#,0.67545,2,0.35
28.82717:-81.68651#,1,2,0.35
24.56063:-81.80698#,0.75202,2,0.33
25.96535:-80.14442#G-5,0.99191,2,0.33
27.23984:-80.26953#,0.99998,2,0.33
27.83877:-82.70061#7,0.99995,2,0.33
